tconst,ordering,nconst,category,job,characters,primaryName,birthYear,deathYear,primaryProfession,knownForTitles
tt0077596,1,nm0000821,actor,\N,"[""Jeeva""]",Amitabh Bachchan,1942,\N,"actor,producer,writer","tt0337578,tt0375611,tt5571734,tt0248126"
tt0077792,2,nm0000821,actor,\N,"[""Dual Role (Amit & Shankar)""]",Amitabh Bachchan,1942,\N,"actor,producer,writer","tt0337578,tt0375611,tt5571734,tt0248126"
tt0078418,1,nm0000821,actor,\N,"[""Vijay Kumar""]",Amitabh Bachchan,1942,\N,"actor,producer,writer","tt0337578,tt0375611,tt5571734,tt0248126"
tt0079236,1,nm0000821,actor,\N,"[""Dual Role (Jay & Insp. Vijay)""]",Amitabh Bachchan,1942,\N,"actor,producer,writer","tt0337578,tt0375611,tt5571734,tt0248126"
tt0079382,2,nm0000821,actor,\N,"[""Inder Saxena""]",Amitabh Bachchan,1942,\N,"actor,producer,writer","tt0337578,tt0375611,tt5571734,tt0248126"
tt0079386,1,nm0000821,actor,\N,"[""Vijay Pal Singh""]",Amitabh Bachchan,1942,\N,"actor,producer,writer","tt0337578,tt0375611,tt5571734,tt0248126"
tt0079526,1,nm0000821,actor,\N,"[""Ajay Chandra""]",Amitabh Bachchan,1942,\N,"actor,producer,writer","tt0337578,tt0375611,tt5571734,tt0248126"
tt0079584,1,nm0000821,actor,\N,"[""Natwarlal""]",Amitabh Bachchan,1942,\N,"actor,producer,writer","tt0337578,tt0375611,tt5571734,tt0248126"
tt0079590,1,nm0000821,actor,\N,"[""Sikandar""]",Amitabh Bachchan,1942,\N,"actor,producer,writer","tt0337578,tt0375611,tt5571734,tt0248126"
tt0079963,2,nm0000821,actor,\N,"[""Amit Kapoor""]",Amitabh Bachchan,1942,\N,"actor,producer,writer","tt0337578,tt0375611,tt5571734,tt0248126"
tt0080202,1,nm0000158,actor,\N,"[""Buffy Wilson"",""Kip Wilson""]",Tom Hanks,1956,\N,"producer,actor,soundtrack","tt0162222,tt0120815,tt0109830,tt0094737"
tt0080376,1,nm0000821,actor,\N,"[""Inspector Abhijeet Rai""]",Amitabh Bachchan,1942,\N,"actor,producer,writer","tt0337578,tt0375611,tt5571734,tt0248126"
tt0080638,2,nm0000821,actor,\N,"[""Vijay"",""Ram""]",Amitabh Bachchan,1942,\N,"actor,producer,writer","tt0337578,tt0375611,tt5571734,tt0248126"
tt0080653,1,nm0000821,actor,\N,"[""Vijay Varma""]",Amitabh Bachchan,1942,\N,"actor,producer,writer","tt0337578,tt0375611,tt5571734,tt0248126"
tt0081491,3,nm0000821,actor,\N,"[""Vijay Kumar""]",Amitabh Bachchan,1942,\N,"actor,producer,writer","tt0337578,tt0375611,tt5571734,tt0248126"
tt0082594,1,nm0000821,actor,\N,"[""Kallu"",""Kaalia""]",Amitabh Bachchan,1942,\N,"actor,producer,writer","tt0337578,tt0375611,tt5571734,tt0248126"
tt0082644,1,nm0000821,actor,\N,"[""Heera""]",Amitabh Bachchan,1942,\N,"actor,producer,writer","tt0337578,tt0375611,tt5571734,tt0248126"
tt0082797,1,nm0000821,actor,\N,"[""John Jaani Janardhan""]",Amitabh Bachchan,1942,\N,"actor,producer,writer","tt0337578,tt0375611,tt5571734,tt0248126"
tt0083081,1,nm0000821,actor,\N,"[""Amit Malhotra""]",Amitabh Bachchan,1942,\N,"actor,producer,writer","tt0337578,tt0375611,tt5571734,tt0248126"
tt0083289,2,nm0000821,actor,\N,"[""Jagga (Special Appearance)""]",Amitabh Bachchan,1942,\N,"actor,producer,writer","tt0337578,tt0375611,tt5571734,tt0248126"
tt0083349,1,nm0000821,actor,\N,"[""Kishan Kumar""]",Amitabh Bachchan,1942,\N,"actor,producer,writer","tt0337578,tt0375611,tt5571734,tt0248126"
tt0083636,1,nm0000821,actor,\N,"[""Dr. Sudhir Roy"",""Adhir Roy""]",Amitabh Bachchan,1942,\N,"actor,producer,writer","tt0337578,tt0375611,tt5571734,tt0248126"
tt0083820,1,nm0000821,actor,\N,"[""Master Dinanath"",""Raju""]",Amitabh Bachchan,1942,\N,"actor,producer,writer","tt0337578,tt0375611,tt5571734,tt0248126"
tt0084199,2,nm0000821,actor,\N,"[""Govind Srivastav ('Chhotu Ustad')""]",Amitabh Bachchan,1942,\N,"actor,producer,writer","tt0337578,tt0375611,tt5571734,tt0248126"
tt0084314,1,nm0000158,actor,\N,"[""Robbie Wheeling""]",Tom Hanks,1956,\N,"producer,actor,soundtrack","tt0162222,tt0120815,tt0109830,tt0094737"
tt0084385,3,nm0000821,actor,\N,"[""Arjun Singh""]",Amitabh Bachchan,1942,\N,"actor,producer,writer","tt0337578,tt0375611,tt5571734,tt0248126"
tt0084393,1,nm0000821,actor,\N,"[""Shankar (Sheru)"",""Bhola""]",Amitabh Bachchan,1942,\N,"actor,producer,writer","tt0337578,tt0375611,tt5571734,tt0248126"
tt0084630,1,nm0000821,actor,\N,"[""Ravi Anand"",""Babu""]",Amitabh Bachchan,1942,\N,"actor,producer,writer","tt0337578,tt0375611,tt5571734,tt0248126"
tt0084667,2,nm0000821,actor,\N,"[""Vijay A. Kumar""]",Amitabh Bachchan,1942,\N,"actor,producer,writer","tt0337578,tt0375611,tt5571734,tt0248126"
tt0085165,1,nm0000821,actor,\N,"[""Jan Nissar Akhtar Khan (Guest Appearance)""]",Amitabh Bachchan,1942,\N,"actor,producer,writer","tt0337578,tt0375611,tt5571734,tt0248126"
tt0085361,1,nm0000821,actor,\N,"[""Iqbal A. Khan""]",Amitabh Bachchan,1942,\N,"actor,producer,writer","tt0337578,tt0375611,tt5571734,tt0248126"
tt0085886,3,nm0000821,actor,\N,"[""Triple role (Amit"",""Rana Ranveer, Guru & Insp. Shankar)""]",Amitabh Bachchan,1942,\N,"actor,producer,writer","tt0337578,tt0375611,tt5571734,tt0248126"
tt0086156,1,nm0000821,actor,\N,"[""Ramdas"",""Ronnie""]",Amitabh Bachchan,1942,\N,"actor,producer,writer","tt0337578,tt0375611,tt5571734,tt0248126"
tt0086927,1,nm0000158,actor,\N,"[""Rick Gassko""]",Tom Hanks,1956,\N,"producer,actor,soundtrack","tt0162222,tt0120815,tt0109830,tt0094737"
tt0087417,2,nm0451148,actor,\N,"[""Madan Sharma""]",Aamir Khan,1965,\N,"actor,producer,soundtrack","tt0169102,tt5074352,tt0405508,tt0986264"
tt0087474,1,nm0000821,actor,\N,"[""A.C.P. Amar Nath""]",Amitabh Bachchan,1942,\N,"actor,producer,writer","tt0337578,tt0375611,tt5571734,tt0248126"
tt0087800,2,nm0000136,actor,\N,"[""Glen Lantz""]",Johnny Depp,1963,\N,"actor,producer,soundtrack","tt0325980,tt0449088,tt0383574,tt0408236"
tt0087908,8,nm0000821,self,\N,"[""Himself (Guest Appearance)""]",Amitabh Bachchan,1942,\N,"actor,producer,writer","tt0337578,tt0375611,tt5571734,tt0248126"
tt0088099,1,nm0000821,actor,\N,"[""Vicky Kapoor""]",Amitabh Bachchan,1942,\N,"actor,producer,writer","tt0337578,tt0375611,tt5571734,tt0248126"
tt0088161,1,nm0000158,actor,\N,"[""Allen Bauer""]",Tom Hanks,1956,\N,"producer,actor,soundtrack","tt0162222,tt0120815,tt0109830,tt0094737"
tt0088527,9,nm0000138,actor,\N,"[""Luke Brower""]",Leonardo DiCaprio,1974,\N,"actor,producer,writer","tt0407887,tt0993846,tt0120338,tt1375666"
tt0089543,1,nm0000158,actor,\N,"[""Richard""]",Tom Hanks,1956,\N,"producer,actor,soundtrack","tt0162222,tt0120815,tt0109830,tt0094737"
tt0089552,1,nm0000821,actor,\N,"[""Raju Singh (Mard)""]",Amitabh Bachchan,1942,\N,"actor,producer,writer","tt0337578,tt0375611,tt5571734,tt0248126"
tt0089839,2,nm0000136,actor,\N,"[""Jack""]",Johnny Depp,1963,\N,"actor,producer,soundtrack","tt0325980,tt0449088,tt0383574,tt0408236"
tt0090274,1,nm0000158,actor,\N,"[""Lawrence Bourne III""]",Tom Hanks,1956,\N,"producer,actor,soundtrack","tt0162222,tt0120815,tt0109830,tt0094737"
tt0090575,1,nm0000821,actor,\N,"[""David D'Costa"",""Insp. Vijay Sandaliya""]",Amitabh Bachchan,1942,\N,"actor,producer,writer","tt0337578,tt0375611,tt5571734,tt0248126"
tt0091019,1,nm0000158,actor,\N,"[""David""]",Tom Hanks,1956,\N,"producer,actor,soundtrack","tt0162222,tt0120815,tt0109830,tt0094737"
tt0091541,1,nm0000158,actor,\N,"[""Walter Fielding""]",Tom Hanks,1956,\N,"producer,actor,soundtrack","tt0162222,tt0120815,tt0109830,tt0094737"
tt0091653,1,nm0000158,actor,\N,"[""David Basner""]",Tom Hanks,1956,\N,"producer,actor,soundtrack","tt0162222,tt0120815,tt0109830,tt0094737"
tt0092312,1,nm0000136,actor,\N,"[""Officer Tom Hanson""]",Johnny Depp,1963,\N,"actor,producer,soundtrack","tt0325980,tt0449088,tt0383574,tt0408236"
tt0092925,2,nm0000158,actor,\N,"[""Streebek""]",Tom Hanks,1956,\N,"producer,actor,soundtrack","tt0162222,tt0120815,tt0109830,tt0094737"
tt0093293,2,nm0000821,self,\N,"[""Himself""]",Amitabh Bachchan,1942,\N,"actor,producer,writer","tt0337578,tt0375611,tt5571734,tt0248126"
tt0093949,1,nm0000821,actor,\N,"[""Vijay Kumar Srivastava"",""Shahenshah""]",Amitabh Bachchan,1942,\N,"actor,producer,writer","tt0337578,tt0375611,tt5571734,tt0248126"
tt0094737,1,nm0000158,actor,\N,"[""Josh""]",Tom Hanks,1956,\N,"producer,actor,soundtrack","tt0162222,tt0120815,tt0109830,tt0094737"
tt0095198,1,nm0000821,actor,\N,"[""Ganga Prasad""]",Amitabh Bachchan,1942,\N,"actor,producer,writer","tt0337578,tt0375611,tt5571734,tt0248126"
tt0095432,2,nm0000821,self,\N,"[""Himself (Guest Appearance)""]",Amitabh Bachchan,1942,\N,"actor,producer,writer","tt0337578,tt0375611,tt5571734,tt0248126"
tt0095927,2,nm0000158,actor,\N,"[""Steven Gold""]",Tom Hanks,1956,\N,"producer,actor,soundtrack","tt0162222,tt0120815,tt0109830,tt0094737"
